iter	Passed	Remaining
0	48	48864
1	50	25370
2	52	17464
3	54	13521
4	55	11142
5	59	9825
6	61	8668
7	62	7797
8	64	7114
9	66	6570
10	68	6126
11	69	5761
12	71	5449
13	73	5178
14	75	4944
15	77	4736
16	78	4553
17	80	4390
18	82	4247
19	84	4116
20	85	3995
21	87	3887
22	89	3791
23	91	3701
24	92	3615
25	94	3541
26	96	3469
27	97	3401
28	99	3337
29	101	3276
30	102	3219
31	104	3168
32	106	3118
33	108	3072
34	109	3029
35	111	2987
36	113	2947
37	114	2907
38	116	2873
39	118	2839
40	120	2807
41	121	2778
42	123	2749
43	125	2721
44	126	2693
45	128	2666
46	130	2641
47	131	2616
48	133	2592
49	135	2569
50	137	2550
51	138	2529
52	140	2510
53	142	2491
54	143	2473
55	145	2455
56	147	2436
57	148	2418
58	150	2406
59	152	2390
60	154	2373
61	155	2357
62	157	2343
63	159	2329
64	161	2316
65	162	2303
66	164	2289
67	166	2276
68	167	2265
69	169	2252
70	171	2240
71	173	2230
72	174	2218
73	176	2207
74	178	2198
75	180	2188
76	181	2178
77	183	2168
78	185	2157
79	186	2148
80	188	2138
81	190	2128
82	191	2118
83	193	2109
84	195	2101
85	196	2092
86	198	2085
87	200	2077
88	202	2069
89	203	2061
90	205	2057
91	207	2049
92	209	2042
93	211	2035
94	212	2027
95	214	2022
96	216	2015
97	218	2008
98	219	2001
99	221	1995
100	223	1989
101	225	1982
102	226	1976
103	228	1970
104	230	1963
105	232	1957
106	233	1950
107	235	1944
108	237	1938
109	238	1932
110	240	1927
111	242	1921
112	244	1916
113	245	1910
114	247	1904
115	249	1898
116	250	1892
117	252	1887
118	254	1881
119	255	1876
120	257	1871
121	259	1865
122	260	1860
123	262	1855
124	264	1850
125	266	1845
126	267	1840
127	269	1834
128	271	1830
129	272	1825
130	274	1821
131	276	1816
132	277	1811
133	279	1806
134	281	1801
135	282	1797
136	284	1793
137	286	1789
138	288	1784
139	289	1780
140	291	1775
141	293	1771
142	294	1767
143	296	1763
144	298	1758
145	299	1754
146	301	1749
147	303	1745
148	304	1741
149	306	1737
150	308	1733
151	310	1729
152	311	1725
153	313	1722
154	315	1718
155	316	1714
156	318	1710
157	320	1707
158	321	1703
159	323	1699
160	325	1695
161	327	1691
162	328	1687
163	330	1684
164	332	1680
165	333	1676
166	335	1673
167	337	1670
168	338	1666
169	340	1663
170	342	1659
171	344	1656
172	345	1652
173	347	1649
174	349	1648
175	351	1644
176	352	1640
177	354	1637
178	356	1634
179	358	1630
180	359	1627
181	361	1623
182	362	1620
183	364	1617
184	366	1613
185	368	1611
186	369	1608
187	371	1605
188	373	1601
189	375	1598
